# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Mg24  Mg25  Mg26  P31  Fe54  Fe56  Fe57
2.371531E-02  1.601572E+06  5.632409E+04  4.466843E+03  2.791777E+02  5.583553E+02  3.070954E+03  0.000000E+00  0.000000E+00  0.000000E+00
2.426771E-02  1.552703E+06  5.640611E+04  3.137462E+03  6.820570E+01  2.046171E+02  2.864639E+03  0.000000E+00  2.046171E+02  0.000000E+00
2.483298E-02  1.523691E+06  5.472224E+04  4.265802E+03  1.999594E+02  3.332657E+02  2.666126E+03  0.000000E+00  0.000000E+00  0.000000E+00
2.541141E-02  1.482168E+06  5.503987E+04  3.777884E+03  1.302719E+02  1.302719E+02  2.540302E+03  0.000000E+00  0.000000E+00  0.000000E+00
2.600332E-02  1.455177E+06  5.238664E+04  3.182663E+03  2.546131E+02  6.365326E+01  2.609784E+03  0.000000E+00  0.000000E+00  0.000000E+00
2.660901E-02  1.423733E+06  5.050992E+04  3.981078E+03  3.110217E+02  1.866130E+02  1.990539E+03  0.000000E+00  0.000000E+00  0.000000E+00
2.722882E-02  1.393452E+06  4.668549E+04  3.708092E+03  1.823652E+02  6.078839E+01  2.553113E+03  0.000000E+00  0.000000E+00  0.000000E+00
2.786306E-02  1.356803E+06  4.562280E+04  3.504876E+03  1.188094E+02  4.158328E+02  2.257378E+03  0.000000E+00  0.000000E+00  0.000000E+00
2.851207E-02  1.324409E+06  4.713860E+04  3.715358E+03  5.805247E+01  3.483148E+02  1.567417E+03  0.000000E+00  0.000000E+00  0.000000E+00
2.917620E-02  1.298233E+06  4.668964E+04  3.290400E+03  1.701931E+02  2.269241E+02  1.872124E+03  0.000000E+00  1.134621E+02  0.000000E+00
2.985580E-02  1.265355E+06  4.839884E+04  2.716544E+03  5.543967E+01  5.543967E+01  2.106708E+03  0.000000E+00  5.543967E+01  0.000000E+00
3.055124E-02  1.227559E+06  4.545510E+04  3.250663E+03  1.625331E+02  3.792440E+02  1.842042E+03  0.000000E+00  0.000000E+00  0.000000E+00
3.126287E-02  1.210734E+06  4.420864E+04  2.911946E+03  1.588334E+02  2.117779E+02  2.276613E+03  0.000000E+00  5.294448E+01  0.000000E+00
3.199107E-02  1.179036E+06  3.983927E+04  3.156098E+03  2.586966E+02  2.586966E+02  1.862615E+03  0.000000E+00  1.034786E+02  0.000000E+00
3.273624E-02  1.166607E+06  4.156162E+04  2.275271E+03  5.056158E+01  5.056158E+02  2.174148E+03  0.000000E+00  5.056158E+01  0.000000E+00
3.349876E-02  1.147019E+06  4.061556E+04  2.865818E+03  2.470533E+02  1.482320E+02  1.778784E+03  0.000000E+00  0.000000E+00  0.000000E+00
3.427905E-02  1.111880E+06  3.858046E+04  2.752298E+03  9.657188E+01  1.931438E+02  1.834866E+03  0.000000E+00  0.000000E+00  0.000000E+00
3.507751E-02  1.089685E+06  3.812695E+04  2.453714E+03  2.831209E+02  1.887473E+02  1.698725E+03  0.000000E+00  4.718682E+01  0.000000E+00
3.589457E-02  1.059855E+06  3.947248E+04  2.905101E+03  2.766763E+02  3.227890E+02  1.567832E+03  0.000000E+00  0.000000E+00  0.000000E+00
3.673066E-02  1.045643E+06  3.735728E+04  2.298216E+03  9.012612E+01  9.012612E+01  2.163027E+03  0.000000E+00  0.000000E+00  0.000000E+00
3.758623E-02  1.006032E+06  3.584636E+04  2.378014E+03  4.403730E+01  2.201865E+02  2.025716E+03  0.000000E+00  0.000000E+00  0.000000E+00
3.846173E-02  9.814967E+05  3.503040E+04  2.496023E+03  2.582093E+02  3.012442E+02  1.420151E+03  0.000000E+00  8.606978E+01  0.000000E+00
3.935762E-02  9.570944E+05  3.549467E+04  2.270986E+03  2.102765E+02  2.943871E+02  1.682212E+03  0.000000E+00  0.000000E+00  0.000000E+00
4.027437E-02  9.376919E+05  3.435793E+04  2.465880E+03  8.219600E+01  1.643920E+02  1.561724E+03  0.000000E+00  4.109800E+01  0.000000E+00
4.121248E-02  9.255447E+05  3.337503E+04  2.570400E+03  1.204875E+02  2.008125E+02  1.285200E+03  0.000000E+00  4.016249E+01  0.000000E+00
4.217245E-02  8.937619E+05  3.300781E+04  2.590387E+03  7.849657E+01  1.569931E+02  1.569931E+03  0.000000E+00  1.569931E+02  0.000000E+00
4.315477E-02  8.802829E+05  3.356052E+04  2.262938E+03  1.150647E+02  3.068391E+02  1.495840E+03  0.000000E+00  3.835488E+01  0.000000E+00
4.415997E-02  8.501252E+05  3.268415E+04  2.548764E+03  1.874091E+02  7.496364E+01  1.724164E+03  0.000000E+00  0.000000E+00  0.000000E+00
4.518859E-02  8.401143E+05  3.084131E+04  2.307604E+03  3.662863E+01  2.197718E+02  1.721546E+03  0.000000E+00  0.000000E+00  0.000000E+00
4.624117E-02  8.223511E+05  3.064040E+04  2.183486E+03  1.073846E+02  2.505640E+02  1.360205E+03  0.000000E+00  1.431794E+02  0.000000E+00
4.731826E-02  8.006938E+05  2.959314E+04  2.028844E+03  2.098804E+02  3.148206E+02  1.469163E+03  0.000000E+00  3.498007E+01  0.000000E+00
4.842045E-02  7.840061E+05  2.939809E+04  1.709191E+03  1.709191E+02  1.025515E+02  1.367353E+03  0.000000E+00  0.000000E+00  0.000000E+00
4.954830E-02  7.647903E+05  2.943043E+04  2.271588E+03  3.340571E+01  2.338400E+02  1.236011E+03  0.000000E+00  0.000000E+00  0.000000E+00
5.070243E-02  7.477406E+05  2.859728E+04  2.024009E+03  3.264530E+01  1.632265E+02  1.338457E+03  0.000000E+00  3.264530E+01  0.000000E+00
