# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  O16  Mg24  Mg25  Mg26  Cl35  Cl37
7.161909E-02  2.305771E+06  6.758433E+04  7.802090E+03  3.039775E+02  1.418562E+03  9.321977E+04  2.370248E+02
7.328731E-02  2.262197E+06  6.574887E+04  9.406841E+03  2.970581E+02  5.941163E+02  9.139489E+04  9.926976E+01
7.499439E-02  2.215831E+06  5.922044E+04  7.354172E+03  5.805926E+02  6.773580E+02  8.176678E+04  1.131785E+02
7.674123E-02  2.174471E+06  6.335706E+04  7.186771E+03  4.728139E+02  6.619394E+02  8.661950E+04  1.106022E+02
7.852877E-02  2.117396E+06  6.431754E+04  7.762462E+03  9.241026E+01  5.544616E+02  8.141344E+04  9.264393E+01
8.035794E-02  2.031812E+06  6.005399E+04  7.224540E+03  3.612270E+02  1.264294E+03  7.983117E+04  2.112486E+02
8.222971E-02  2.013802E+06  6.045201E+04  7.236592E+03  4.412556E+02  7.942601E+02  8.304430E+04  1.327114E+02
8.414509E-02  1.959942E+06  5.536754E+04  7.330593E+03  6.036959E+02  3.449691E+02  8.115398E+04  5.764023E+01
8.610508E-02  1.948197E+06  5.907969E+04  6.658054E+03  5.899541E+02  5.899541E+02  7.745255E+04  9.857431E+01
8.811073E-02  1.874777E+06  5.476989E+04  6.835941E+03  1.647215E+02  7.412466E+02  7.634840E+04  1.238535E+02
9.016309E-02  1.824537E+06  5.384512E+04  6.760822E+03  3.219439E+02  6.438878E+02  7.436904E+04  1.075860E+02
9.226326E-02  1.790320E+06  5.309138E+04  6.449619E+03  4.719233E+02  3.932695E+02  7.275485E+04  6.571064E+01
9.441234E-02  1.756485E+06  5.334328E+04  6.225944E+03  2.305905E+02  3.074540E+02  7.117561E+04  5.137191E+01
9.661149E-02  1.714700E+06  5.205392E+04  6.234452E+03  6.760249E+02  8.262527E+02  7.368672E+04  1.380570E+02
9.886186E-02  1.673246E+06  4.807967E+04  6.459559E+03  8.808490E+02  5.138286E+02  7.222962E+04  8.585463E+01
1.011646E-01  1.657252E+06  5.085884E+04  6.169055E+03  3.586660E+02  3.586660E+02  6.886387E+04  5.992882E+01
1.035211E-01  1.604247E+06  5.369687E+04  5.748229E+03  2.804014E+02  9.814050E+02  6.841795E+04  1.639811E+02
1.059324E-01  1.585541E+06  4.966589E+04  7.741028E+03  2.740187E+02  1.027570E+03  6.651804E+04  1.716947E+02
1.083999E-01  1.551859E+06  4.913786E+04  7.096204E+03  5.355625E+02  6.694532E+02  7.163149E+04  1.118577E+02
1.109248E-01  1.494095E+06  4.854272E+04  5.168295E+03  1.308429E+02  5.887931E+02  6.784205E+04  9.838032E+01
1.135086E-01  1.461684E+06  4.724596E+04  5.306379E+03  3.196614E+02  1.917968E+02  6.067174E+04  3.204697E+01
1.161526E-01  1.442157E+06  4.529583E+04  6.747517E+03  4.998160E+02  3.748620E+02  6.541343E+04  6.263498E+01
1.188581E-01  1.400965E+06  4.548587E+04  5.800211E+03  4.884388E+02  6.716034E+02  5.958954E+04  1.122169E+02
1.216267E-01  1.377249E+06  4.427149E+04  6.145503E+03  2.386603E+02  7.159809E+02  6.163403E+04  1.196319E+02
1.244597E-01  1.340593E+06  4.023178E+04  4.839476E+03  3.498416E+02  3.498416E+02  6.017276E+04  5.845437E+01
1.273587E-01  1.299308E+06  4.153821E+04  5.242133E+03  7.407362E+02  8.546956E+02  5.834722E+04  1.428095E+02
1.303253E-01  1.272015E+06  3.936766E+04  5.401221E+03  2.227308E+02  6.125096E+02  5.863387E+04  1.023431E+02
1.333610E-01  1.238708E+06  4.217178E+04  4.734122E+03  4.353216E+02  8.162280E+02  5.680947E+04  1.363820E+02
1.364674E-01  1.219498E+06  3.722359E+04  5.158126E+03  2.127062E+02  3.722359E+02  5.923868E+04  6.219618E+01
