# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  S32  S34  Co59
4.121248E-01  1.174068E+05  7.266100E+03  1.830508E+02  0.000000E+00  1.606779E+03
4.217245E-01  1.141827E+05  7.319339E+03  2.186361E+02  0.000000E+00  1.421134E+03
4.315477E-01  1.104813E+05  6.832242E+03  1.796681E+02  0.000000E+00  1.388785E+03
4.415997E-01  1.080661E+05  7.018387E+03  1.613422E+02  0.000000E+00  1.404626E+03
4.518859E-01  1.062740E+05  7.280627E+03  1.901310E+02  0.000000E+00  1.391203E+03
4.624117E-01  1.039410E+05  7.214599E+03  1.903349E+02  0.000000E+00  1.527211E+03
4.731826E-01  1.018939E+05  6.837801E+03  8.414392E+01  0.000000E+00  1.337445E+03
4.842045E-01  9.853579E+04  6.933167E+03  1.990797E+02  0.000000E+00  1.345952E+03
4.954830E-01  9.765891E+04  6.225539E+03  1.649429E+02  0.000000E+00  1.328002E+03
5.070243E-01  9.474157E+04  6.666586E+03  1.446562E+02  0.000000E+00  1.388700E+03
5.188344E-01  9.311409E+04  6.692550E+03  1.736751E+02  0.000000E+00  1.248037E+03
5.309196E-01  9.033146E+04  6.283653E+03  1.460397E+02  0.000000E+00  1.286728E+03
5.432863E-01  8.784712E+04  6.298764E+03  1.890015E+02  0.000000E+00  1.269010E+03
5.559411E-01  8.735522E+04  6.030997E+03  1.470056E+02  0.000000E+00  1.217508E+03
5.688906E-01  8.460796E+04  5.882664E+03  1.952293E+02  0.000000E+00  1.108755E+03
5.821418E-01  8.183611E+04  5.820753E+03  2.051842E+02  0.000000E+00  1.123114E+03
5.957016E-01  8.141910E+04  5.508849E+03  1.231224E+02  0.000000E+00  1.136244E+03
6.095773E-01  7.837977E+04  5.789102E+03  1.340707E+02  0.000000E+00  1.031313E+03
6.237762E-01  7.665946E+04  5.412086E+03  1.612540E+02  0.000000E+00  1.078386E+03
6.383058E-01  7.526904E+04  5.347985E+03  1.510174E+02  0.000000E+00  1.119498E+03
6.531738E-01  7.323488E+04  5.319290E+03  1.572046E+02  0.000000E+00  1.126098E+03
6.683882E-01  7.170267E+04  5.427080E+03  1.191387E+02  0.000000E+00  1.025220E+03
6.839570E-01  7.047801E+04  5.309672E+03  1.409376E+02  0.000000E+00  1.106054E+03
6.998884E-01  6.848450E+04  4.976227E+03  1.257530E+02  0.000000E+00  1.056924E+03
7.161909E-01  6.689634E+04  4.947807E+03  1.053347E+02  0.000000E+00  1.044570E+03
7.328731E-01  6.650304E+04  4.852337E+03  1.057964E+02  0.000000E+00  9.149958E+02
