# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  B10  B11  O16  Na23
6.237762E-02  8.171483E+06  1.275853E+04  1.045491E+05  3.728325E+05  3.437715E+04
6.383058E-02  7.854562E+06  1.142910E+04  1.056326E+05  3.570728E+05  3.775066E+04
6.531738E-02  7.723154E+06  6.769056E+03  1.042435E+05  3.624829E+05  4.399886E+04
6.683882E-02  7.533462E+06  8.599465E+03  1.005476E+05  3.608468E+05  3.869759E+04
6.839570E-02  7.425007E+06  1.228236E+04  9.825885E+04  3.862478E+05  3.264521E+04
6.998884E-02  7.195664E+06  1.105519E+04  8.559874E+04  3.509232E+05  3.916695E+04
7.161909E-02  7.084036E+06  1.111221E+04  8.735435E+04  3.355271E+05  3.364531E+04
7.328731E-02  6.910115E+06  9.351037E+03  9.743177E+04  3.296995E+05  3.408604E+04
7.499439E-02  6.788195E+06  1.297032E+04  8.076973E+04  3.363440E+05  3.507883E+04
7.674123E-02  6.601701E+06  8.642101E+03  8.958978E+04  3.266714E+05  3.514454E+04
7.852877E-02  6.409764E+06  9.008408E+03  8.332778E+04  3.212061E+05  3.321851E+04
8.035794E-02  6.233048E+06  8.803352E+03  8.610778E+04  3.042658E+05  3.136194E+04
8.222971E-02  6.124503E+06  8.065278E+03  7.742667E+04  3.019102E+05  2.795963E+04
8.414509E-02  6.037637E+06  6.830798E+03  8.039324E+04  3.121149E+05  2.995042E+04
8.610508E-02  5.889677E+06  8.985994E+03  7.471212E+04  2.947406E+05  3.183609E+04
8.811073E-02  5.711955E+06  9.785042E+03  7.727674E+04  2.915441E+05  2.960602E+04
9.016309E-02  5.611113E+06  5.639309E+03  7.453696E+04  2.817203E+05  3.162917E+04
9.226326E-02  5.440738E+06  9.584249E+03  7.379871E+04  2.664421E+05  2.659629E+04
9.441234E-02  5.337263E+06  9.834389E+03  6.930903E+04  2.491378E+05  2.926901E+04
9.661149E-02  5.247350E+06  7.779953E+03  6.246845E+04  2.613149E+05  2.883159E+04
9.886186E-02  5.082959E+06  9.838995E+03  7.312162E+04  2.582736E+05  2.571556E+04
1.011646E-01  4.962231E+06  5.900134E+03  5.943838E+04  2.707506E+05  2.185235E+04
1.035211E-01  4.842443E+06  4.484535E+03  6.940351E+04  2.571133E+05  2.327687E+04
1.059324E-01  4.775205E+06  5.634584E+03  6.427599E+04  2.552258E+05  2.462522E+04
1.083999E-01  4.647134E+06  6.526015E+03  6.036564E+04  2.367720E+05  2.590012E+04
1.109248E-01  4.513252E+06  7.772535E+03  5.480634E+04  2.297880E+05  2.351690E+04
1.135086E-01  4.468167E+06  8.569407E+03  5.901205E+04  2.307897E+05  2.609774E+04
1.161526E-01  4.319638E+06  6.280757E+03  5.538486E+04  2.287718E+05  2.493270E+04
1.188581E-01  4.198062E+06  8.369714E+03  5.486812E+04  2.233784E+05  2.324920E+04
1.216267E-01  4.104139E+06  5.452797E+03  5.798141E+04  2.264728E+05  1.999359E+04
1.244597E-01  4.041090E+06  6.216789E+03  5.737208E+04  2.198967E+05  2.486716E+04
1.273587E-01  3.912132E+06  6.769595E+03  5.137949E+04  2.067330E+05  2.065594E+04
1.303253E-01  3.877192E+06  6.445872E+03  5.241512E+04  2.161063E+05  2.137315E+04
1.333610E-01  3.790594E+06  6.630680E+03  5.205084E+04  1.979258E+05  2.022357E+04
1.364674E-01  3.704472E+06  5.831773E+03  5.361991E+04  2.028161E+05  2.251712E+04
1.396461E-01  3.642469E+06  6.173944E+03  5.002478E+04  2.073812E+05  2.042151E+04
1.428989E-01  3.563888E+06  5.414597E+03  5.074251E+04  1.935332E+05  2.119428E+04
1.462274E-01  3.467646E+06  6.651977E+03  5.019219E+04  1.907908E+05  1.738585E+04
1.496335E-01  3.391519E+06  5.170900E+03  4.314008E+04  1.817202E+05  1.861524E+04
1.531189E-01  3.265808E+06  4.331311E+03  5.082071E+04  1.885564E+05  2.180093E+04
1.566855E-01  3.242826E+06  4.938171E+03  4.754753E+04  1.876505E+05  2.201013E+04
1.603352E-01  3.151362E+06  6.066675E+03  4.412128E+04  1.831033E+05  1.778639E+04
1.640699E-01  3.088386E+06  5.793841E+03  4.163481E+04  1.744889E+05  1.684256E+04
1.678915E-01  3.016506E+06  4.081876E+03  4.595402E+04  1.677519E+05  1.461575E+04
1.718022E-01  2.934974E+06  4.374989E+03  4.027564E+04  1.683084E+05  1.891539E+04
1.758040E-01  2.894447E+06  3.646667E+03  4.438874E+04  1.681239E+05  1.722736E+04
