# Er [keV]  dR/dEr H1 [1/keV/decay]  C12  C13  O16  Na23
2.851207E-02  2.929635E+07  1.357514E+06  1.926462E+04  9.645153E+05  1.348523E+05
2.917620E-02  2.869851E+07  1.310297E+06  1.129566E+04  9.714270E+05  1.054262E+05
2.985580E-02  2.788581E+07  1.281697E+06  8.585533E+03  9.713917E+05  8.708183E+04
3.055124E-02  2.728461E+07  1.286083E+06  1.198586E+04  8.809607E+05  1.018798E+05
3.126287E-02  2.648316E+07  1.281405E+06  7.027817E+03  9.077597E+05  9.956074E+04
3.199107E-02  2.620426E+07  1.233923E+06  1.030177E+04  8.928198E+05  1.041623E+05
3.273624E-02  2.558093E+07  1.189056E+06  1.230444E+04  8.613109E+05  1.073842E+05
3.349876E-02  2.478548E+07  1.153245E+06  1.748997E+04  8.329601E+05  1.158711E+05
3.427905E-02  2.417216E+07  1.144086E+06  1.068241E+04  8.556610E+05  1.089606E+05
3.507751E-02  2.343298E+07  1.183811E+06  1.148317E+04  8.257445E+05  1.064803E+05
3.589457E-02  2.325970E+07  1.153803E+06  1.326211E+04  7.845047E+05  1.040565E+05
3.673066E-02  2.258768E+07  1.107601E+06  1.894187E+04  6.948675E+05  8.872770E+04
3.758623E-02  2.214269E+07  9.713245E+05  1.461371E+04  7.725781E+05  9.157924E+04
3.846173E-02  2.133305E+07  1.024428E+06  1.523313E+04  7.626086E+05  1.056798E+05
3.935762E-02  2.124473E+07  9.648237E+05  1.488638E+04  7.350152E+05  8.745750E+04
4.027437E-02  2.032199E+07  9.855950E+05  1.636597E+04  6.928260E+05  8.092062E+04
4.121248E-02  2.031166E+07  1.007586E+06  1.421639E+04  7.143734E+05  8.974093E+04
4.217245E-02  1.988665E+07  9.533921E+05  1.562938E+04  7.163465E+05  9.377627E+04
4.315477E-02  1.934827E+07  9.019916E+05  1.527361E+04  6.907066E+05  7.551952E+04
4.415997E-02  1.885063E+07  9.337005E+05  1.326750E+04  6.708381E+05  7.877580E+04
