# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Na23  S32  S34
2.113629E-01  6.894004E+05  3.414742E+04  4.778204E+03  6.695572E+02  0.000000E+00
2.162862E-01  6.793289E+05  3.146666E+04  4.609955E+03  5.056080E+02  0.000000E+00
2.213241E-01  6.703760E+05  3.403470E+04  4.098115E+03  4.069050E+02  0.000000E+00
2.264794E-01  6.511968E+05  3.274872E+04  4.345667E+03  6.248671E+02  0.000000E+00
2.317548E-01  6.353467E+05  3.211429E+04  3.719374E+03  5.551304E+02  0.000000E+00
2.371531E-01  6.186602E+05  2.994567E+04  4.258579E+03  4.882447E+02  0.000000E+00
2.426771E-01  6.008933E+05  2.950259E+04  3.923076E+03  3.711018E+02  0.000000E+00
2.483298E-01  5.878370E+05  3.007442E+04  3.652449E+03  6.735012E+02  0.000000E+00
2.541141E-01  5.757979E+05  3.128841E+04  4.252793E+03  4.809707E+02  0.000000E+00
2.600332E-01  5.684303E+05  2.938877E+04  3.339633E+03  4.947605E+02  0.000000E+00
2.660901E-01  5.555880E+05  2.828465E+04  2.780116E+03  4.834984E+02  0.000000E+00
2.722882E-01  5.446186E+05  2.832593E+04  3.425571E+03  5.197419E+02  0.000000E+00
2.786306E-01  5.264498E+05  2.807363E+04  3.947854E+03  4.617373E+02  0.000000E+00
2.851207E-01  5.178055E+05  2.747972E+04  4.083604E+03  3.835429E+02  0.000000E+00
2.917620E-01  5.070550E+05  2.621482E+04  3.924506E+03  5.070991E+02  0.000000E+00
2.985580E-01  4.936601E+05  2.744950E+04  3.382709E+03  6.894694E+02  0.000000E+00
3.055124E-01  4.831599E+05  2.579295E+04  3.053044E+03  4.842759E+02  0.000000E+00
3.126287E-01  4.695281E+05  2.502065E+04  3.230462E+03  6.378620E+02  0.000000E+00
3.199107E-01  4.607104E+05  2.435057E+04  3.398222E+03  4.021564E+02  0.000000E+00
3.273624E-01  4.504002E+05  2.399279E+04  3.183318E+03  4.716027E+02  0.000000E+00
3.349876E-01  4.372866E+05  2.440678E+04  3.130060E+03  4.800705E+02  0.000000E+00
3.427905E-01  4.285150E+05  2.368233E+04  3.377828E+03  6.380342E+02  0.000000E+00
3.507751E-01  4.187425E+05  2.286817E+04  2.787460E+03  4.584638E+02  0.000000E+00
3.589457E-01  4.095154E+05  2.127236E+04  3.046589E+03  3.584223E+02  0.000000E+00
3.673066E-01  3.993706E+05  2.206661E+04  3.257451E+03  4.553427E+02  0.000000E+00
3.758623E-01  3.956195E+05  2.122202E+04  2.806783E+03  4.107487E+02  0.000000E+00
3.846173E-01  3.874504E+05  2.105672E+04  2.960317E+03  3.177742E+02  0.000000E+00
3.935762E-01  3.757216E+05  2.054472E+04  3.040031E+03  4.086063E+02  0.000000E+00
4.027437E-01  3.657956E+05  2.183401E+04  2.843053E+03  5.270829E+02  0.000000E+00
4.121248E-01  3.585304E+05  2.032245E+04  3.090510E+03  2.809555E+02  0.000000E+00
4.217245E-01  3.528403E+05  2.007340E+04  2.730348E+03  4.576003E+02  0.000000E+00
4.315477E-01  3.419020E+05  1.992950E+04  2.474418E+03  3.726533E+02  0.000000E+00
4.415997E-01  3.345709E+05  1.978175E+04  2.286992E+03  3.204702E+02  0.000000E+00
4.518859E-01  3.265566E+05  1.931723E+04  2.377286E+03  3.131754E+02  0.000000E+00
4.624117E-01  3.199023E+05  1.904445E+04  2.490107E+03  3.338691E+02  0.000000E+00
4.731826E-01  3.126340E+05  1.927708E+04  2.555776E+03  5.029985E+02  0.000000E+00
4.842045E-01  3.018243E+05  1.842644E+04  2.577310E+03  3.719830E+02  0.000000E+00
4.954830E-01  2.979789E+05  1.779928E+04  2.427765E+03  4.673772E+02  0.000000E+00
5.070243E-01  2.928327E+05  1.821879E+04  2.753117E+03  2.791179E+02  0.000000E+00
5.188344E-01  2.843197E+05  1.712217E+04  2.306099E+03  3.099595E+02  0.000000E+00
5.309196E-01  2.788171E+05  1.705955E+04  2.108212E+03  3.513686E+02  0.000000E+00
5.432863E-01  2.731927E+05  1.690804E+04  2.297030E+03  3.433705E+02  0.000000E+00
5.559411E-01  2.668468E+05  1.692814E+04  2.140606E+03  3.124128E+02  0.000000E+00
5.688906E-01  2.580588E+05  1.678027E+04  2.261492E+03  3.053014E+02  0.000000E+00
