# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Al27  Si28  Si29  Si30  K39  K41
3.126287E-02  2.880653E+06  9.257148E+05  7.395303E+04  9.100910E+04  7.291144E+03  4.166368E+03  2.212081E+05  2.603980E+03
3.199107E-02  2.808210E+06  8.728342E+05  7.252412E+04  9.160942E+04  5.980059E+03  4.453236E+03  2.290235E+05  2.926412E+03
3.273624E-02  2.777735E+06  8.568206E+05  7.137063E+04  9.002149E+04  6.092615E+03  4.476207E+03  2.211992E+05  3.481494E+03
3.349876E-02  2.704421E+06  8.217638E+05  7.472789E+04  8.420558E+04  5.224877E+03  3.888281E+03  2.102102E+05  1.944140E+03
3.427905E-02  2.620062E+06  8.290629E+05  7.207694E+04  8.549488E+04  7.124574E+03  3.681030E+03  2.105311E+05  2.731087E+03
3.507751E-02  2.544873E+06  8.309623E+05  7.252498E+04  8.285254E+04  5.105759E+03  3.017039E+03  2.106126E+05  2.088720E+03
3.589457E-02  2.524252E+06  8.053567E+05  6.860614E+04  8.300776E+04  4.309146E+03  3.401957E+03  1.993547E+05  3.288559E+03
3.673066E-02  2.468899E+06  7.772726E+05  6.216851E+04  7.879111E+04  7.092308E+03  2.992068E+03  1.967007E+05  3.435337E+03
3.758623E-02  2.394506E+06  7.722503E+05  6.638472E+04  7.634784E+04  4.548382E+03  2.923960E+03  2.002371E+05  2.382486E+03
3.846173E-02  2.343599E+06  7.423954E+05  6.021711E+04  7.587991E+04  5.291486E+03  2.539913E+03  1.929276E+05  2.539913E+03
3.935762E-02  2.296975E+06  7.332530E+05  5.739851E+04  7.539372E+04  5.274458E+03  2.068415E+03  1.836752E+05  2.068415E+03
4.027437E-02  2.245599E+06  7.253549E+05  6.094316E+04  7.600208E+04  6.670395E+03  2.930931E+03  1.866700E+05  1.819199E+03
4.121248E-02  2.181347E+06  6.903746E+05  5.728430E+04  7.279057E+04  4.938302E+03  3.555577E+03  1.737295E+05  1.382725E+03
4.217245E-02  2.127639E+06  6.956041E+05  6.090276E+04  7.441526E+04  4.536339E+03  2.412946E+03  1.794267E+05  2.605982E+03
4.315477E-02  2.120615E+06  6.805248E+05  6.036533E+04  7.092927E+04  4.999004E+03  2.452342E+03  1.757197E+05  2.358021E+03
4.415997E-02  2.066353E+06  6.631907E+05  5.991299E+04  7.143472E+04  4.332170E+03  2.949562E+03  1.744851E+05  2.857389E+03
4.518859E-02  2.002923E+06  6.586335E+05  5.809882E+04  7.179033E+04  6.035072E+03  2.432044E+03  1.651087E+05  2.071741E+03
